X,CH1,CH2,
Second,Volt,Volt,
2.14420e-04,2.72e+00,-2.20e-01,
2.14422e-04,2.56e+00,-7.99e-02,
2.14424e-04,2.48e+00,1.20e-01,
2.14426e-04,2.56e+00,3.20e-01,
2.14428e-04,2.56e+00,4.00e-01,
2.14430e-04,2.64e+00,4.00e-01,
2.14432e-04,2.48e+00,4.20e-01,
2.14434e-04,2.48e+00,3.80e-01,
2.14436e-04,2.48e+00,3.20e-01,
2.14438e-04,2.40e+00,3.00e-01,
2.14440e-04,2.48e+00,3.00e-01,
2.14442e-04,2.56e+00,2.20e-01,
2.14444e-04,2.64e+00,-7.99e-02,
2.14446e-04,2.64e+00,-3.40e-01,
2.14448e-04,2.56e+00,-4.80e-01,
2.14450e-04,2.48e+00,-4.60e-01,
2.14452e-04,2.64e+00,-4.20e-01,
2.14454e-04,2.72e+00,-3.40e-01,
2.14456e-04,2.72e+00,-2.20e-01,
2.14458e-04,2.64e+00,-1.20e-01,
2.14460e-04,2.48e+00,7.99e-02,
2.14462e-04,2.56e+00,3.00e-01,
2.14464e-04,2.48e+00,3.80e-01,
2.14466e-04,2.56e+00,4.40e-01,
2.14468e-04,2.56e+00,4.20e-01,
2.14470e-04,2.48e+00,4.00e-01,
2.14472e-04,2.48e+00,3.40e-01,
2.14474e-04,2.40e+00,2.80e-01,
2.14476e-04,2.32e+00,3.20e-01,
2.14478e-04,2.48e+00,2.40e-01,
2.14480e-04,2.64e+00,0.00e+00,
2.14482e-04,2.56e+00,-2.80e-01,
2.14484e-04,2.56e+00,-4.60e-01,
2.14486e-04,2.48e+00,-4.40e-01,
2.14488e-04,2.64e+00,-4.40e-01,
2.14490e-04,2.80e+00,-3.60e-01,
2.14492e-04,2.72e+00,-2.40e-01,
2.14494e-04,2.64e+00,-1.60e-01,
2.14496e-04,2.48e+00,-2.00e-02,
2.14498e-04,2.48e+00,2.40e-01,
2.14500e-04,2.56e+00,4.00e-01,
2.14502e-04,2.56e+00,4.20e-01,
2.14504e-04,2.48e+00,4.00e-01,
2.14506e-04,2.48e+00,4.20e-01,
2.14508e-04,2.48e+00,3.60e-01,
2.14510e-04,2.48e+00,3.00e-01,
2.14512e-04,2.40e+00,3.20e-01,
2.14514e-04,2.40e+00,2.80e-01,
2.14516e-04,2.56e+00,7.99e-02,
2.14518e-04,2.56e+00,-2.60e-01,
2.14520e-04,2.64e+00,-4.40e-01,
2.14522e-04,2.56e+00,-4.80e-01,
2.14524e-04,2.56e+00,-4.20e-01,
2.14526e-04,2.72e+00,-3.60e-01,
2.14528e-04,2.72e+00,-3.00e-01,
2.14530e-04,2.64e+00,-1.80e-01,
2.14532e-04,2.56e+00,-2.00e-02,
2.14534e-04,2.48e+00,1.80e-01,
2.14536e-04,2.56e+00,3.60e-01,
2.14538e-04,2.56e+00,4.00e-01,
2.14540e-04,2.48e+00,4.20e-01,
2.14542e-04,2.40e+00,4.00e-01,
2.14544e-04,2.40e+00,3.60e-01,
2.14546e-04,2.32e+00,3.20e-01,
2.14548e-04,2.40e+00,3.00e-01,
2.14550e-04,2.48e+00,2.80e-01,
2.14552e-04,2.56e+00,1.40e-01,
2.14554e-04,2.64e+00,-1.80e-01,
